data,Ano,Mes,Populacao,Taxa_Crescimento
2020-01-01,2020,1,1645748,0.0
2020-02-01,2020,2,1646403,0.03979953188459895
2020-03-01,2020,3,1647016,0.037232682399146455
2020-04-01,2020,4,1647671,0.039768891134017714
2020-05-01,2020,5,1648305,0.03847855548833046
2020-06-01,2020,6,1648960,0.03973779124615273
2020-07-01,2020,7,1649594,0.03844847661556017
2020-08-01,2020,8,1650249,0.03970673996147589
2020-09-01,2020,9,1650904,0.039690979967255124
2020-10-01,2020,10,1651538,0.03840320212440407
2020-11-01,2020,11,1652193,0.03966000176804929
2020-12-01,2020,12,1652827,0.038373240898614824
